# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
5.000e-03, 5.000e-01, -8.050e-01, 1.179e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.142e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.950e-01, 1.178e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.140e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.850e-01, 1.177e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.138e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.750e-01, 1.176e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.137e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.650e-01, 1.175e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.135e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.550e-01, 1.174e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.133e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.450e-01, 1.173e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.131e+00, 9.983e+02, 4.425e-17
5.000e-03, 5.000e-01, -7.350e-01, 1.157e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.103e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.250e-01, 1.156e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.101e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.150e-01, 1.155e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.099e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.050e-01, 1.154e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.097e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.950e-01, 1.153e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.095e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.850e-01, 1.152e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.094e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.750e-01, 1.151e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.092e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.650e-01, 1.150e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.090e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.550e-01, 1.150e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.088e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.450e-01, 1.149e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.086e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.350e-01, 1.148e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.085e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.250e-01, 1.147e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.083e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.150e-01, 1.146e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.081e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.050e-01, 1.145e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.079e+00, 9.983e+02, 4.477e-17
5.000e-03, 5.000e-01, -5.950e-01, 1.144e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.079e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.850e-01, 1.143e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.077e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.750e-01, 1.142e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.075e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.650e-01, 1.141e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.073e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.550e-01, 1.140e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.072e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.450e-01, 1.139e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.070e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.350e-01, 1.138e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.068e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.250e-01, 1.138e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.066e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.150e-01, 1.137e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.065e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -5.050e-01, 1.136e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.063e+00, 9.983e+02, 4.380e-17
5.000e-03, 5.000e-01, -4.950e-01, 1.137e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.065e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.850e-01, 1.136e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.063e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.750e-01, 1.135e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.061e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.650e-01, 1.131e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.054e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.550e-01, 1.130e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.052e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.450e-01, 1.129e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.050e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.350e-01, 1.128e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.049e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.250e-01, 1.127e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.047e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.150e-01, 1.126e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.045e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -4.050e-01, 1.125e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.043e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -3.950e-01, 1.124e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.041e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -3.850e-01, 1.123e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.040e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -3.750e-01, 1.122e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.038e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -3.650e-01, 1.121e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.036e+00, 9.983e+02, 4.430e-17
