t[s],p1[Pa],p2[Pa],mobA[kg],immA[kg],dissA[kg],sealA[kg],mobB[kg],immB[kg],dissB[kg],sealB[kg],M_C[m],sealTot[kg]
0.000000e+00,2.806746e+07,2.234501e+07, 0.000000e+00, 0.000000e+00, 5.319791e+03, 8.781142e+00, 0.000000e+00, 0.000000e+00, 2.526106e+03, 4.023071e-01, 2.867741e-06, 1.166413e+01
3.942000e+09,4.451383e+07,3.868993e+07, 3.507667e+07, 1.376883e+05, 1.496553e+06, 1.300231e+04, 3.981696e+05, 1.506773e+04, 1.911262e+05, 4.051499e-01, 1.844613e+01, 1.300521e+04
7.884000e+09,4.428995e+07,3.844065e+07, 3.878227e+07, 1.547536e+05, 2.434397e+06, 1.328507e+04, 6.980309e+04, 2.840968e+05, 3.649267e+05, 4.050748e-01, 2.510023e+01, 1.328797e+04
1.182600e+10,4.413840e+07,3.828998e+07, 3.915681e+07, 4.930779e+04, 3.302227e+06, 1.357701e+04, 0.000000e+00, 2.371970e+05, 3.099220e+05, 4.050299e-01, 3.012487e+01, 1.358498e+04
1.576800e+10,4.405309e+07,3.820405e+07, 3.931463e+07, 1.294169e+03, 3.844012e+06, 1.387230e+04, 0.000000e+00, 1.624170e+05, 2.463261e+05, 4.050008e-01, 3.087048e+01, 1.419932e+04
1.971000e+10,4.399822e+07,3.814800e+07, 3.935807e+07, 2.338887e+03, 4.194633e+06, 1.416930e+04, 0.000000e+00, 9.897563e+04, 1.981978e+05, 1.215629e+01, 2.951380e+01, 1.540162e+04
2.365200e+10,4.395604e+07,3.810520e+07, 3.928765e+07, 3.050414e+03, 4.453081e+06, 1.446858e+04, 0.000000e+00, 5.661375e+04, 1.556767e+05, 1.210624e+02, 2.886486e+01, 1.686750e+04
2.759400e+10,4.392258e+07,3.807116e+07, 3.922201e+07, 3.403525e+03, 4.669370e+06, 1.476886e+04, 0.000000e+00, 1.539215e+04, 1.303070e+05, 3.506910e+02, 2.867234e+01, 1.844894e+04
