# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
3.500e+01, 5.000e-01, -1.185e+03, 3.279e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.111e+02, 9.924e+02, 3.335e-08
3.500e+01, 5.000e-01, -1.155e+03, 3.250e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.112e+02, 9.926e+02, 3.335e-08
3.500e+01, 5.000e-01, -1.125e+03, 3.219e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.114e+02, 9.928e+02, 3.336e-08
3.500e+01, 5.000e-01, -1.095e+03, 3.189e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.124e+02, 9.931e+02, 3.734e+01
3.500e+01, 5.000e-01, -1.065e+03, 3.160e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.139e+02, 9.935e+02, 3.735e+01
3.500e+01, 5.000e-01, -1.035e+03, 3.131e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.151e+02, 9.938e+02, 3.735e+01
3.500e+01, 5.000e-01, -1.005e+03, 3.101e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.162e+02, 9.942e+02, 3.737e+01
3.500e+01, 5.000e-01, -9.750e+02, 3.072e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.172e+02, 9.945e+02, 3.738e+01
3.500e+01, 5.000e-01, -9.450e+02, 3.043e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.183e+02, 9.948e+02, 3.738e+01
3.500e+01, 5.000e-01, -9.150e+02, 3.014e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.196e+02, 9.951e+02, 3.740e+01
3.500e+01, 5.000e-01, -8.850e+02, 2.999e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.224e+02, 9.956e+02, 4.600e-02
3.500e+01, 5.000e-01, -8.550e+02, 2.974e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.231e+02, 9.958e+02, 3.346e-02
3.500e+01, 5.000e-01, -8.250e+02, 2.945e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.232e+02, 9.960e+02, 3.347e-02
3.500e+01, 5.000e-01, -7.950e+02, 2.915e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.233e+02, 9.962e+02, 3.347e-02
3.500e+01, 5.000e-01, -7.650e+02, 2.886e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.233e+02, 9.963e+02, 3.348e-02
3.500e+01, 5.000e-01, -7.350e+02, 2.838e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.221e+02, 9.964e+02, 6.696e-02
3.500e+01, 5.000e-01, -7.050e+02, 2.809e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.234e+02, 9.967e+02, 6.698e-02
3.500e+01, 5.000e-01, -6.750e+02, 2.779e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.245e+02, 9.969e+02, 6.700e-02
3.500e+01, 5.000e-01, -6.450e+02, 2.750e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.257e+02, 9.972e+02, 6.701e-02
3.500e+01, 5.000e-01, -6.150e+02, 2.721e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.268e+02, 9.975e+02, 6.703e-02
3.500e+01, 5.000e-01, -5.850e+02, 2.691e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.280e+02, 9.977e+02, 6.705e-02
3.500e+01, 5.000e-01, -5.550e+02, 2.662e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.290e+02, 9.980e+02, 6.707e-02
3.500e+01, 5.000e-01, -5.250e+02, 2.633e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.302e+02, 9.982e+02, 6.708e-02
3.500e+01, 5.000e-01, -4.950e+02, 2.604e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.314e+02, 9.985e+02, 3.003e+01
3.500e+01, 5.000e-01, -4.650e+02, 2.574e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.322e+02, 9.987e+02, 3.753e+01
3.500e+01, 5.000e-01, -4.350e+02, 2.544e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.336e+02, 9.990e+02, 3.755e+01
3.500e+01, 5.000e-01, -4.050e+02, 2.515e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.350e+02, 9.992e+02, 3.756e+01
3.500e+01, 5.000e-01, -3.750e+02, 2.485e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.364e+02, 9.995e+02, 7.976e-02
3.500e+01, 5.000e-01, -3.450e+02, 2.456e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.379e+02, 9.997e+02, 6.718e-02
3.500e+01, 5.000e-01, -3.150e+02, 2.427e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.390e+02, 9.999e+02, 6.719e-02
3.500e+01, 5.000e-01, -2.850e+02, 2.397e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.400e+02, 1.000e+03, 6.721e-02
3.500e+01, 5.000e-01, -2.550e+02, 2.368e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.411e+02, 1.000e+03, 6.722e-02
3.500e+01, 5.000e-01, -2.250e+02, 2.339e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.421e+02, 1.000e+03, 6.723e-02
3.500e+01, 5.000e-01, -1.950e+02, 2.309e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.432e+02, 1.001e+03, 3.008e+01
3.500e+01, 5.000e-01, -1.650e+02, 2.280e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.447e+02, 1.001e+03, 3.009e+01
3.500e+01, 5.000e-01, -1.350e+02, 2.269e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.482e+02, 1.001e+03, 3.364e-02
3.500e+01, 5.000e-01, -1.050e+02, 2.239e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.492e+02, 1.001e+03, 3.365e-02
3.500e+01, 5.000e-01, -7.500e+01, 2.210e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.503e+02, 1.001e+03, 3.365e-02
3.500e+01, 5.000e-01, -4.500e+01, 2.180e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.512e+02, 1.002e+03, 3.366e-02
3.500e+01, 5.000e-01, -1.500e+01, 2.151e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.521e+02, 1.002e+03, 3.366e-02
1.050e+02, 5.000e-01, -1.185e+03, 3.280e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.110e+02, 9.924e+02, 3.334e-08
1.050e+02, 5.000e-01, -1.155e+03, 3.250e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.108e+02, 9.925e+02, 3.335e-08
1.050e+02, 5.000e-01, -1.125e+03, 3.220e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.104e+02, 9.926e+02, 3.335e-08
1.050e+02, 5.000e-01, -1.095e+03, 3.189e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.105e+02, 9.929e+02, 8.340e-02
1.050e+02, 5.000e-01, -1.065e+03, 3.160e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.123e+02, 9.933e+02, 8.344e-02
1.050e+02, 5.000e-01, -1.035e+03, 3.131e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.140e+02, 9.937e+02, 8.347e-02
1.050e+02, 5.000e-01, -1.005e+03, 3.101e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.156e+02, 9.941e+02, 8.351e-02
1.050e+02, 5.000e-01, -9.750e+02, 3.072e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.172e+02, 9.945e+02, 8.354e-02
1.050e+02, 5.000e-01, -9.450e+02, 3.043e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.189e+02, 9.949e+02, 8.357e-02
1.050e+02, 5.000e-01, -9.150e+02, 3.014e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.208e+02, 9.953e+02, 8.361e-02
1.050e+02, 5.000e-01, -8.850e+02, 2.999e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.234e+02, 9.957e+02, 4.600e-02
1.050e+02, 5.000e-01, -8.550e+02, 2.974e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.237e+02, 9.959e+02, 3.346e-02
