# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
3.500e+01, 5.000e-01, -1.185e+03, 4.192e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.673e+02, 9.964e+02, 3.348e-08
3.500e+01, 5.000e-01, -1.155e+03, 4.330e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.752e+02, 9.972e+02, 3.351e-08
3.500e+01, 5.000e-01, -1.125e+03, 4.595e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.888e+02, 9.985e+02, 3.355e-08
3.500e+01, 5.000e-01, -1.095e+03, 4.811e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.997e+02, 9.997e+02, 3.758e+01
3.500e+01, 5.000e-01, -1.065e+03, 4.781e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.006e+02, 1.000e+03, 3.759e+01
3.500e+01, 5.000e-01, -1.035e+03, 4.752e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.016e+02, 1.000e+03, 3.760e+01
3.500e+01, 5.000e-01, -1.005e+03, 4.722e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.026e+02, 1.001e+03, 3.761e+01
3.500e+01, 5.000e-01, -9.750e+02, 4.693e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.038e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.450e+02, 4.663e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.051e+02, 1.001e+03, 3.763e+01
3.500e+01, 5.000e-01, -9.150e+02, 4.634e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.065e+02, 1.002e+03, 3.764e+01
3.500e+01, 5.000e-01, -8.850e+02, 4.619e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.093e+02, 1.002e+03, 4.630e-02
3.500e+01, 5.000e-01, -8.550e+02, 4.594e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.105e+02, 1.002e+03, 3.369e-02
3.500e+01, 5.000e-01, -8.250e+02, 4.564e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.112e+02, 1.003e+03, 3.369e-02
3.500e+01, 5.000e-01, -7.950e+02, 4.534e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.117e+02, 1.003e+03, 3.370e-02
3.500e+01, 5.000e-01, -7.650e+02, 4.504e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.120e+02, 1.003e+03, 3.370e-02
3.500e+01, 5.000e-01, -7.350e+02, 4.455e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.116e+02, 1.003e+03, 6.741e-02
3.500e+01, 5.000e-01, -7.050e+02, 4.425e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.126e+02, 1.003e+03, 6.743e-02
3.500e+01, 5.000e-01, -6.750e+02, 4.396e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.134e+02, 1.004e+03, 6.744e-02
3.500e+01, 5.000e-01, -6.450e+02, 4.366e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.143e+02, 1.004e+03, 6.746e-02
3.500e+01, 5.000e-01, -6.150e+02, 4.337e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.153e+02, 1.004e+03, 6.747e-02
3.500e+01, 5.000e-01, -5.850e+02, 4.307e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.164e+02, 1.004e+03, 6.749e-02
3.500e+01, 5.000e-01, -5.550e+02, 4.278e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.176e+02, 1.004e+03, 6.751e-02
3.500e+01, 5.000e-01, -5.250e+02, 4.248e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.189e+02, 1.005e+03, 6.752e-02
3.500e+01, 5.000e-01, -4.950e+02, 4.219e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.204e+02, 1.005e+03, 3.023e+01
3.500e+01, 5.000e-01, -4.650e+02, 4.189e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.212e+02, 1.005e+03, 3.778e+01
3.500e+01, 5.000e-01, -4.350e+02, 4.159e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.225e+02, 1.006e+03, 3.779e+01
3.500e+01, 5.000e-01, -4.050e+02, 4.129e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.239e+02, 1.006e+03, 3.780e+01
3.500e+01, 5.000e-01, -3.750e+02, 4.100e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.254e+02, 1.006e+03, 8.029e-02
3.500e+01, 5.000e-01, -3.450e+02, 4.070e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.269e+02, 1.006e+03, 6.763e-02
3.500e+01, 5.000e-01, -3.150e+02, 4.041e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.282e+02, 1.007e+03, 6.764e-02
3.500e+01, 5.000e-01, -2.850e+02, 4.011e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.294e+02, 1.007e+03, 6.766e-02
3.500e+01, 5.000e-01, -2.550e+02, 3.982e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.306e+02, 1.007e+03, 6.767e-02
3.500e+01, 5.000e-01, -2.250e+02, 3.952e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.319e+02, 1.007e+03, 6.768e-02
3.500e+01, 5.000e-01, -1.950e+02, 3.923e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.333e+02, 1.007e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.650e+02, 3.893e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.350e+02, 1.008e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.350e+02, 3.882e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.381e+02, 1.008e+03, 3.387e-02
3.500e+01, 5.000e-01, -1.050e+02, 3.852e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.399e+02, 1.008e+03, 3.388e-02
3.500e+01, 5.000e-01, -7.500e+01, 3.822e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.418e+02, 1.009e+03, 3.389e-02
3.500e+01, 5.000e-01, -4.500e+01, 3.793e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.436e+02, 1.009e+03, 3.390e-02
3.500e+01, 5.000e-01, -1.500e+01, 3.763e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.454e+02, 1.009e+03, 3.391e-02
1.050e+02, 5.000e-01, -1.185e+03, 4.157e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.654e+02, 9.963e+02, 3.348e-08
1.050e+02, 5.000e-01, -1.155e+03, 4.297e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.735e+02, 9.970e+02, 3.350e-08
1.050e+02, 5.000e-01, -1.125e+03, 4.575e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.877e+02, 9.984e+02, 3.355e-08
1.050e+02, 5.000e-01, -1.095e+03, 4.811e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.994e+02, 9.997e+02, 8.398e-02
1.050e+02, 5.000e-01, -1.065e+03, 4.781e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.001e+02, 9.999e+02, 8.400e-02
1.050e+02, 5.000e-01, -1.035e+03, 4.752e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.011e+02, 1.000e+03, 8.402e-02
1.050e+02, 5.000e-01, -1.005e+03, 4.722e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.024e+02, 1.001e+03, 8.405e-02
1.050e+02, 5.000e-01, -9.750e+02, 4.693e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.039e+02, 1.001e+03, 8.408e-02
1.050e+02, 5.000e-01, -9.450e+02, 4.663e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.058e+02, 1.001e+03, 8.412e-02
1.050e+02, 5.000e-01, -9.150e+02, 4.634e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.079e+02, 1.002e+03, 8.416e-02
1.050e+02, 5.000e-01, -8.850e+02, 4.619e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.105e+02, 1.002e+03, 4.631e-02
1.050e+02, 5.000e-01, -8.550e+02, 4.594e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.112e+02, 1.003e+03, 3.369e-02
1.050e+02, 5.000e-01, -8.250e+02, 4.564e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.116e+02, 1.003e+03, 3.370e-02
1.050e+02, 5.000e-01, -7.950e+02, 4.534e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.119e+02, 1.003e+03, 3.370e-02
1.050e+02, 5.000e-01, -7.650e+02, 4.504e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.122e+02, 1.003e+03, 3.371e-02
1.050e+02, 5.000e-01, -7.350e+02, 4.460e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.119e+02, 1.003e+03, 5.899e-02
1.050e+02, 5.000e-01, -7.050e+02, 4.425e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.126e+02, 1.003e+03, 6.743e-02
1.050e+02, 5.000e-01, -6.750e+02, 4.396e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.135e+02, 1.004e+03, 6.744e-02
1.050e+02, 5.000e-01, -6.450e+02, 4.366e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.143e+02, 1.004e+03, 6.746e-02
1.050e+02, 5.000e-01, -6.150e+02, 4.337e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.153e+02, 1.004e+03, 6.747e-02
1.050e+02, 5.000e-01, -5.850e+02, 4.307e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.162e+02, 1.004e+03, 6.749e-02
1.050e+02, 5.000e-01, -5.550e+02, 4.278e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.173e+02, 1.004e+03, 6.750e-02
1.050e+02, 5.000e-01, -5.250e+02, 4.248e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.183e+02, 1.005e+03, 6.752e-02
1.050e+02, 5.000e-01, -4.950e+02, 4.219e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.194e+02, 1.005e+03, 6.753e-02
1.050e+02, 5.000e-01, -4.650e+02, 4.189e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.205e+02, 1.005e+03, 8.021e-02
1.050e+02, 5.000e-01, -4.350e+02, 4.159e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.222e+02, 1.005e+03, 8.446e-02
1.050e+02, 5.000e-01, -4.050e+02, 4.129e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.240e+02, 1.006e+03, 8.449e-02
1.050e+02, 5.000e-01, -3.750e+02, 4.100e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.259e+02, 1.006e+03, 8.452e-02
1.050e+02, 5.000e-01, -3.450e+02, 4.070e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.274e+02, 1.006e+03, 6.763e-02
1.050e+02, 5.000e-01, -3.150e+02, 4.041e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.285e+02, 1.007e+03, 6.765e-02
1.050e+02, 5.000e-01, -2.850e+02, 4.011e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.297e+02, 1.007e+03, 6.766e-02
1.050e+02, 5.000e-01, -2.550e+02, 3.982e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.310e+02, 1.007e+03, 6.767e-02
1.050e+02, 5.000e-01, -2.250e+02, 3.952e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.325e+02, 1.007e+03, 6.769e-02
1.050e+02, 5.000e-01, -1.950e+02, 3.922e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.342e+02, 1.007e+03, 6.771e-02
1.050e+02, 5.000e-01, -1.650e+02, 3.893e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.363e+02, 1.008e+03, 6.773e-02
1.050e+02, 5.000e-01, -1.350e+02, 3.868e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.387e+02, 1.008e+03, 5.928e-02
1.050e+02, 5.000e-01, -1.050e+02, 3.852e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.408e+02, 1.008e+03, 3.388e-02
1.050e+02, 5.000e-01, -7.500e+01, 3.822e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.423e+02, 1.009e+03, 3.389e-02
1.050e+02, 5.000e-01, -4.500e+01, 3.793e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.438e+02, 1.009e+03, 3.390e-02
1.050e+02, 5.000e-01, -1.500e+01, 3.763e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.455e+02, 1.009e+03, 3.391e-02
1.750e+02, 5.000e-01, -1.185e+03, 4.093e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.621e+02, 9.960e+02, 3.347e-08
1.750e+02, 5.000e-01, -1.155e+03, 4.223e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.697e+02, 9.967e+02, 3.349e-08
1.750e+02, 5.000e-01, -1.125e+03, 4.475e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.831e+02, 9.980e+02, 3.353e-08
1.750e+02, 5.000e-01, -1.095e+03, 4.759e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.969e+02, 9.994e+02, 2.099e-02
1.750e+02, 5.000e-01, -1.065e+03, 4.781e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.998e+02, 9.999e+02, 8.399e-02
1.750e+02, 5.000e-01, -1.035e+03, 4.752e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.008e+02, 1.000e+03, 8.402e-02
1.750e+02, 5.000e-01, -1.005e+03, 4.722e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.022e+02, 1.001e+03, 8.405e-02
1.750e+02, 5.000e-01, -9.750e+02, 4.693e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.039e+02, 1.001e+03, 8.408e-02
1.750e+02, 5.000e-01, -9.450e+02, 4.663e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.059e+02, 1.001e+03, 8.412e-02
1.750e+02, 5.000e-01, -9.150e+02, 4.634e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.081e+02, 1.002e+03, 8.417e-02
1.750e+02, 5.000e-01, -8.850e+02, 4.619e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.108e+02, 1.002e+03, 4.631e-02
1.750e+02, 5.000e-01, -8.550e+02, 4.594e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.115e+02, 1.003e+03, 3.369e-02
1.750e+02, 5.000e-01, -8.250e+02, 4.564e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.119e+02, 1.003e+03, 3.370e-02
1.750e+02, 5.000e-01, -7.950e+02, 4.534e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.122e+02, 1.003e+03, 3.370e-02
1.750e+02, 5.000e-01, -7.650e+02, 4.504e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.125e+02, 1.003e+03, 3.371e-02
1.750e+02, 5.000e-01, -7.350e+02, 4.469e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.125e+02, 1.003e+03, 4.214e-02
1.750e+02, 5.000e-01, -7.050e+02, 4.425e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.126e+02, 1.003e+03, 6.743e-02
1.750e+02, 5.000e-01, -6.750e+02, 4.396e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.135e+02, 1.004e+03, 6.744e-02
1.750e+02, 5.000e-01, -6.450e+02, 4.366e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.143e+02, 1.004e+03, 6.746e-02
1.750e+02, 5.000e-01, -6.150e+02, 4.337e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.152e+02, 1.004e+03, 6.747e-02
1.750e+02, 5.000e-01, -5.850e+02, 4.307e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.162e+02, 1.004e+03, 6.749e-02
1.750e+02, 5.000e-01, -5.550e+02, 4.278e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.171e+02, 1.004e+03, 6.750e-02
1.750e+02, 5.000e-01, -5.250e+02, 4.248e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.182e+02, 1.005e+03, 6.752e-02
1.750e+02, 5.000e-01, -4.950e+02, 4.219e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.192e+02, 1.005e+03, 6.753e-02
1.750e+02, 5.000e-01, -4.650e+02, 4.189e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.203e+02, 1.005e+03, 8.021e-02
1.750e+02, 5.000e-01, -4.350e+02, 4.159e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.220e+02, 1.005e+03, 8.446e-02
1.750e+02, 5.000e-01, -4.050e+02, 4.129e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.239e+02, 1.006e+03, 8.449e-02
1.750e+02, 5.000e-01, -3.750e+02, 4.100e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.259e+02, 1.006e+03, 8.452e-02
