# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
3.500e+01, 5.000e-01, -1.185e+03, 4.487e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.820e+02, 9.977e+02, 3.353e-08
3.500e+01, 5.000e-01, -1.155e+03, 4.551e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.859e+02, 9.982e+02, 3.354e-08
3.500e+01, 5.000e-01, -1.125e+03, 4.688e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.931e+02, 9.990e+02, 3.357e-08
3.500e+01, 5.000e-01, -1.095e+03, 4.796e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.991e+02, 9.997e+02, 3.758e+01
3.500e+01, 5.000e-01, -1.065e+03, 4.766e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.001e+02, 1.000e+03, 3.759e+01
3.500e+01, 5.000e-01, -1.035e+03, 4.737e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.010e+02, 1.000e+03, 3.759e+01
3.500e+01, 5.000e-01, -1.005e+03, 4.707e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.021e+02, 1.001e+03, 3.761e+01
3.500e+01, 5.000e-01, -9.750e+02, 4.678e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.032e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.450e+02, 4.648e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.045e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.150e+02, 4.619e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.058e+02, 1.002e+03, 3.764e+01
3.500e+01, 5.000e-01, -8.850e+02, 4.604e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.085e+02, 1.002e+03, 4.630e-02
3.500e+01, 5.000e-01, -8.550e+02, 4.579e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.096e+02, 1.002e+03, 3.368e-02
3.500e+01, 5.000e-01, -8.250e+02, 4.549e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.102e+02, 1.003e+03, 3.369e-02
3.500e+01, 5.000e-01, -7.950e+02, 4.519e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.107e+02, 1.003e+03, 3.370e-02
3.500e+01, 5.000e-01, -7.650e+02, 4.489e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.111e+02, 1.003e+03, 3.370e-02
3.500e+01, 5.000e-01, -7.350e+02, 4.440e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.108e+02, 1.003e+03, 6.741e-02
3.500e+01, 5.000e-01, -7.050e+02, 4.410e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.118e+02, 1.003e+03, 6.742e-02
3.500e+01, 5.000e-01, -6.750e+02, 4.381e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.127e+02, 1.003e+03, 6.744e-02
3.500e+01, 5.000e-01, -6.450e+02, 4.351e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.136e+02, 1.004e+03, 6.745e-02
3.500e+01, 5.000e-01, -6.150e+02, 4.322e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.146e+02, 1.004e+03, 6.747e-02
3.500e+01, 5.000e-01, -5.850e+02, 4.292e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.157e+02, 1.004e+03, 6.748e-02
3.500e+01, 5.000e-01, -5.550e+02, 4.263e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.169e+02, 1.004e+03, 6.750e-02
3.500e+01, 5.000e-01, -5.250e+02, 4.233e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.183e+02, 1.005e+03, 6.752e-02
3.500e+01, 5.000e-01, -4.950e+02, 4.204e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.198e+02, 1.005e+03, 3.022e+01
3.500e+01, 5.000e-01, -4.650e+02, 4.174e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.206e+02, 1.005e+03, 3.778e+01
3.500e+01, 5.000e-01, -4.350e+02, 4.144e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.218e+02, 1.005e+03, 3.779e+01
3.500e+01, 5.000e-01, -4.050e+02, 4.114e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.232e+02, 1.006e+03, 3.780e+01
3.500e+01, 5.000e-01, -3.750e+02, 4.085e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.247e+02, 1.006e+03, 8.028e-02
3.500e+01, 5.000e-01, -3.450e+02, 4.055e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.263e+02, 1.006e+03, 6.763e-02
3.500e+01, 5.000e-01, -3.150e+02, 4.026e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.275e+02, 1.007e+03, 6.764e-02
3.500e+01, 5.000e-01, -2.850e+02, 3.996e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.288e+02, 1.007e+03, 6.765e-02
3.500e+01, 5.000e-01, -2.550e+02, 3.967e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.301e+02, 1.007e+03, 6.767e-02
3.500e+01, 5.000e-01, -2.250e+02, 3.937e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.314e+02, 1.007e+03, 6.768e-02
3.500e+01, 5.000e-01, -1.950e+02, 3.908e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.328e+02, 1.007e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.650e+02, 3.878e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.345e+02, 1.008e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.350e+02, 3.867e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.377e+02, 1.008e+03, 3.387e-02
3.500e+01, 5.000e-01, -1.050e+02, 3.837e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.395e+02, 1.008e+03, 3.388e-02
3.500e+01, 5.000e-01, -7.500e+01, 3.807e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.413e+02, 1.009e+03, 3.389e-02
3.500e+01, 5.000e-01, -4.500e+01, 3.778e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.431e+02, 1.009e+03, 3.390e-02
3.500e+01, 5.000e-01, -1.500e+01, 3.748e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.448e+02, 1.009e+03, 3.390e-02
1.050e+02, 5.000e-01, -1.185e+03, 4.459e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.807e+02, 9.976e+02, 3.352e-08
1.050e+02, 5.000e-01, -1.155e+03, 4.527e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.848e+02, 9.981e+02, 3.354e-08
1.050e+02, 5.000e-01, -1.125e+03, 4.673e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.923e+02, 9.989e+02, 3.356e-08
1.050e+02, 5.000e-01, -1.095e+03, 4.796e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.990e+02, 9.997e+02, 8.398e-02
1.050e+02, 5.000e-01, -1.065e+03, 4.766e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.998e+02, 9.999e+02, 8.400e-02
1.050e+02, 5.000e-01, -1.035e+03, 4.737e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.008e+02, 1.000e+03, 8.402e-02
1.050e+02, 5.000e-01, -1.005e+03, 4.707e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.021e+02, 1.001e+03, 8.405e-02
1.050e+02, 5.000e-01, -9.750e+02, 4.678e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.035e+02, 1.001e+03, 8.408e-02
1.050e+02, 5.000e-01, -9.450e+02, 4.648e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.053e+02, 1.001e+03, 8.412e-02
1.050e+02, 5.000e-01, -9.150e+02, 4.619e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.072e+02, 1.002e+03, 8.416e-02
1.050e+02, 5.000e-01, -8.850e+02, 4.604e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.096e+02, 1.002e+03, 4.631e-02
