# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
3.500e+01, 5.000e-01, -1.185e+03, 4.794e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.960e+02, 9.991e+02, 3.357e-08
3.500e+01, 5.000e-01, -1.155e+03, 4.781e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.964e+02, 9.992e+02, 3.358e-08
3.500e+01, 5.000e-01, -1.125e+03, 4.782e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.973e+02, 9.994e+02, 3.358e-08
3.500e+01, 5.000e-01, -1.095e+03, 4.778e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.984e+02, 9.996e+02, 3.758e+01
3.500e+01, 5.000e-01, -1.065e+03, 4.748e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.994e+02, 9.999e+02, 3.758e+01
3.500e+01, 5.000e-01, -1.035e+03, 4.719e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.003e+02, 1.000e+03, 3.759e+01
3.500e+01, 5.000e-01, -1.005e+03, 4.689e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.014e+02, 1.000e+03, 3.761e+01
3.500e+01, 5.000e-01, -9.750e+02, 4.660e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.024e+02, 1.001e+03, 3.761e+01
3.500e+01, 5.000e-01, -9.450e+02, 4.630e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.037e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.150e+02, 4.601e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.050e+02, 1.001e+03, 3.764e+01
3.500e+01, 5.000e-01, -8.850e+02, 4.586e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.075e+02, 1.002e+03, 4.629e-02
3.500e+01, 5.000e-01, -8.550e+02, 4.561e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.084e+02, 1.002e+03, 3.368e-02
3.500e+01, 5.000e-01, -8.250e+02, 4.531e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.089e+02, 1.002e+03, 3.368e-02
3.500e+01, 5.000e-01, -7.950e+02, 4.501e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.093e+02, 1.003e+03, 3.369e-02
3.500e+01, 5.000e-01, -7.650e+02, 4.471e+07, 0.000e+00, 4.393e-06, 0.000e+00, 9.095e+02, 1.003e+03, 1.480e-01
3.500e+01, 5.000e-01, -7.350e+02, 4.422e+07, 0.000e+00, 2.827e-02, 0.000e+00, 9.089e+02, 1.009e+03, 1.917e+03
3.500e+01, 5.000e-01, -7.050e+02, 4.392e+07, 0.000e+00, 1.430e-02, 0.000e+00, 9.096e+02, 1.006e+03, 9.674e+02
3.500e+01, 5.000e-01, -6.750e+02, 4.363e+07, 0.000e+00, 2.604e-03, 0.000e+00, 9.106e+02, 1.004e+03, 1.757e+02
3.500e+01, 5.000e-01, -6.450e+02, 4.333e+07, 0.000e+00, 1.443e-04, 0.000e+00, 9.118e+02, 1.003e+03, 9.734e+00
3.500e+01, 5.000e-01, -6.150e+02, 4.304e+07, 0.000e+00, 3.563e-06, 0.000e+00, 9.130e+02, 1.004e+03, 2.403e-01
3.500e+01, 5.000e-01, -5.850e+02, 4.274e+07, 0.000e+00, 1.019e-06, 0.000e+00, 9.143e+02, 1.004e+03, 6.873e-02
3.500e+01, 5.000e-01, -5.550e+02, 4.245e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.157e+02, 1.004e+03, 6.749e-02
3.500e+01, 5.000e-01, -5.250e+02, 4.215e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.172e+02, 1.005e+03, 6.751e-02
3.500e+01, 5.000e-01, -4.950e+02, 4.186e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.188e+02, 1.005e+03, 3.022e+01
3.500e+01, 5.000e-01, -4.650e+02, 4.156e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.197e+02, 1.005e+03, 3.778e+01
3.500e+01, 5.000e-01, -4.350e+02, 4.126e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.210e+02, 1.005e+03, 3.779e+01
3.500e+01, 5.000e-01, -4.050e+02, 4.096e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.223e+02, 1.006e+03, 3.780e+01
3.500e+01, 5.000e-01, -3.750e+02, 4.067e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.239e+02, 1.006e+03, 8.028e-02
3.500e+01, 5.000e-01, -3.450e+02, 4.037e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.255e+02, 1.006e+03, 6.762e-02
3.500e+01, 5.000e-01, -3.150e+02, 4.008e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.269e+02, 1.006e+03, 6.763e-02
3.500e+01, 5.000e-01, -2.850e+02, 3.978e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.282e+02, 1.007e+03, 6.765e-02
3.500e+01, 5.000e-01, -2.550e+02, 3.948e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.296e+02, 1.007e+03, 6.766e-02
3.500e+01, 5.000e-01, -2.250e+02, 3.919e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.309e+02, 1.007e+03, 6.768e-02
3.500e+01, 5.000e-01, -1.950e+02, 3.889e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.322e+02, 1.007e+03, 3.028e+01
3.500e+01, 5.000e-01, -1.650e+02, 3.860e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.339e+02, 1.008e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.350e+02, 3.849e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.371e+02, 1.008e+03, 3.387e-02
3.500e+01, 5.000e-01, -1.050e+02, 3.819e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.389e+02, 1.008e+03, 3.388e-02
3.500e+01, 5.000e-01, -7.500e+01, 3.789e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.407e+02, 1.008e+03, 3.389e-02
3.500e+01, 5.000e-01, -4.500e+01, 3.760e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.424e+02, 1.009e+03, 3.389e-02
3.500e+01, 5.000e-01, -1.500e+01, 3.730e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.441e+02, 1.009e+03, 3.390e-02
1.050e+02, 5.000e-01, -1.185e+03, 4.787e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.957e+02, 9.991e+02, 3.357e-08
1.050e+02, 5.000e-01, -1.155e+03, 4.775e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.961e+02, 9.992e+02, 3.358e-08
1.050e+02, 5.000e-01, -1.125e+03, 4.779e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.972e+02, 9.994e+02, 3.358e-08
1.050e+02, 5.000e-01, -1.095e+03, 4.778e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.984e+02, 9.996e+02, 8.397e-02
1.050e+02, 5.000e-01, -1.065e+03, 4.748e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.993e+02, 9.999e+02, 8.400e-02
1.050e+02, 5.000e-01, -1.035e+03, 4.719e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.004e+02, 1.000e+03, 8.402e-02
1.050e+02, 5.000e-01, -1.005e+03, 4.689e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.015e+02, 1.001e+03, 8.405e-02
1.050e+02, 5.000e-01, -9.750e+02, 4.660e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.029e+02, 1.001e+03, 8.408e-02
1.050e+02, 5.000e-01, -9.450e+02, 4.630e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.045e+02, 1.001e+03, 8.411e-02
1.050e+02, 5.000e-01, -9.150e+02, 4.601e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.062e+02, 1.002e+03, 8.415e-02
1.050e+02, 5.000e-01, -8.850e+02, 4.586e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.085e+02, 1.002e+03, 4.630e-02
1.050e+02, 5.000e-01, -8.550e+02, 4.561e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.091e+02, 1.002e+03, 3.368e-02
1.050e+02, 5.000e-01, -8.250e+02, 4.531e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.094e+02, 1.002e+03, 3.369e-02
1.050e+02, 5.000e-01, -7.950e+02, 4.501e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.096e+02, 1.003e+03, 3.369e-02
1.050e+02, 5.000e-01, -7.650e+02, 4.471e+07, 0.000e+00, 8.962e-06, 0.000e+00, 9.098e+02, 1.003e+03, 3.020e-01
1.050e+02, 5.000e-01, -7.350e+02, 4.427e+07, 0.000e+00, 3.110e-02, 0.000e+00, 9.095e+02, 1.010e+03, 2.092e+03
1.050e+02, 5.000e-01, -7.050e+02, 4.392e+07, 0.000e+00, 2.522e-02, 0.000e+00, 9.099e+02, 1.008e+03, 1.711e+03
1.050e+02, 5.000e-01, -6.750e+02, 4.363e+07, 0.000e+00, 4.569e-03, 0.000e+00, 9.108e+02, 1.004e+03, 3.084e+02
1.050e+02, 5.000e-01, -6.450e+02, 4.333e+07, 0.000e+00, 4.936e-04, 0.000e+00, 9.118e+02, 1.004e+03, 3.329e+01
1.050e+02, 5.000e-01, -6.150e+02, 4.304e+07, 0.000e+00, 1.562e-05, 0.000e+00, 9.129e+02, 1.004e+03, 1.053e+00
1.050e+02, 5.000e-01, -5.850e+02, 4.274e+07, 0.000e+00, 1.183e-06, 0.000e+00, 9.141e+02, 1.004e+03, 7.982e-02
1.050e+02, 5.000e-01, -5.550e+02, 4.245e+07, 0.000e+00, 1.001e-06, 0.000e+00, 9.152e+02, 1.004e+03, 6.755e-02
1.050e+02, 5.000e-01, -5.250e+02, 4.215e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.164e+02, 1.004e+03, 6.750e-02
1.050e+02, 5.000e-01, -4.950e+02, 4.186e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.175e+02, 1.005e+03, 6.752e-02
1.050e+02, 5.000e-01, -4.650e+02, 4.156e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.186e+02, 1.005e+03, 8.020e-02
1.050e+02, 5.000e-01, -4.350e+02, 4.126e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.203e+02, 1.005e+03, 8.445e-02
1.050e+02, 5.000e-01, -4.050e+02, 4.096e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.222e+02, 1.006e+03, 8.447e-02
1.050e+02, 5.000e-01, -3.750e+02, 4.067e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.241e+02, 1.006e+03, 8.450e-02
1.050e+02, 5.000e-01, -3.450e+02, 4.037e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.258e+02, 1.006e+03, 6.762e-02
1.050e+02, 5.000e-01, -3.150e+02, 4.008e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.272e+02, 1.006e+03, 6.764e-02
1.050e+02, 5.000e-01, -2.850e+02, 3.978e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.286e+02, 1.007e+03, 6.765e-02
1.050e+02, 5.000e-01, -2.550e+02, 3.948e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.302e+02, 1.007e+03, 6.767e-02
1.050e+02, 5.000e-01, -2.250e+02, 3.919e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.318e+02, 1.007e+03, 6.769e-02
1.050e+02, 5.000e-01, -1.950e+02, 3.889e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.337e+02, 1.007e+03, 6.770e-02
1.050e+02, 5.000e-01, -1.650e+02, 3.860e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.357e+02, 1.008e+03, 6.772e-02
1.050e+02, 5.000e-01, -1.350e+02, 3.835e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.381e+02, 1.008e+03, 5.928e-02
1.050e+02, 5.000e-01, -1.050e+02, 3.819e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.400e+02, 1.008e+03, 3.388e-02
1.050e+02, 5.000e-01, -7.500e+01, 3.789e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.413e+02, 1.009e+03, 3.389e-02
1.050e+02, 5.000e-01, -4.500e+01, 3.760e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.427e+02, 1.009e+03, 3.389e-02
1.050e+02, 5.000e-01, -1.500e+01, 3.730e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.441e+02, 1.009e+03, 3.390e-02
1.750e+02, 5.000e-01, -1.185e+03, 4.776e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.953e+02, 9.990e+02, 3.357e-08
1.750e+02, 5.000e-01, -1.155e+03, 4.765e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.957e+02, 9.992e+02, 3.357e-08
1.750e+02, 5.000e-01, -1.125e+03, 4.766e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.967e+02, 9.994e+02, 3.358e-08
1.750e+02, 5.000e-01, -1.095e+03, 4.772e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.980e+02, 9.996e+02, 2.100e-02
1.750e+02, 5.000e-01, -1.065e+03, 4.748e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.991e+02, 9.999e+02, 8.402e-02
1.750e+02, 5.000e-01, -1.035e+03, 4.719e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.002e+02, 1.000e+03, 8.402e-02
1.750e+02, 5.000e-01, -1.005e+03, 4.689e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.015e+02, 1.001e+03, 8.405e-02
1.750e+02, 5.000e-01, -9.750e+02, 4.660e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.030e+02, 1.001e+03, 8.408e-02
1.750e+02, 5.000e-01, -9.450e+02, 4.630e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.048e+02, 1.001e+03, 8.411e-02
1.750e+02, 5.000e-01, -9.150e+02, 4.601e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.066e+02, 1.002e+03, 8.415e-02
1.750e+02, 5.000e-01, -8.850e+02, 4.586e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.089e+02, 1.002e+03, 4.630e-02
1.750e+02, 5.000e-01, -8.550e+02, 4.561e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.095e+02, 1.002e+03, 3.368e-02
1.750e+02, 5.000e-01, -8.250e+02, 4.531e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.097e+02, 1.003e+03, 3.369e-02
1.750e+02, 5.000e-01, -7.950e+02, 4.501e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.099e+02, 1.003e+03, 3.369e-02
1.750e+02, 5.000e-01, -7.650e+02, 4.471e+07, 0.000e+00, 1.562e-06, 0.000e+00, 9.101e+02, 1.003e+03, 5.264e-02
1.750e+02, 5.000e-01, -7.350e+02, 4.436e+07, 0.000e+00, 1.448e-02, 0.000e+00, 9.101e+02, 1.006e+03, 9.099e+02
1.750e+02, 5.000e-01, -7.050e+02, 4.392e+07, 0.000e+00, 4.296e-02, 0.000e+00, 9.101e+02, 1.012e+03, 2.923e+03
1.750e+02, 5.000e-01, -6.750e+02, 4.363e+07, 0.000e+00, 6.469e-03, 0.000e+00, 9.109e+02, 1.005e+03, 4.368e+02
1.750e+02, 5.000e-01, -6.450e+02, 4.333e+07, 0.000e+00, 8.984e-04, 0.000e+00, 9.118e+02, 1.004e+03, 6.060e+01
1.750e+02, 5.000e-01, -6.150e+02, 4.304e+07, 0.000e+00, 5.048e-05, 0.000e+00, 9.128e+02, 1.004e+03, 3.405e+00
1.750e+02, 5.000e-01, -5.850e+02, 4.274e+07, 0.000e+00, 2.159e-06, 0.000e+00, 9.139e+02, 1.004e+03, 1.457e-01
1.750e+02, 5.000e-01, -5.550e+02, 4.245e+07, 0.000e+00, 1.008e-06, 0.000e+00, 9.149e+02, 1.004e+03, 6.804e-02
1.750e+02, 5.000e-01, -5.250e+02, 4.215e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.160e+02, 1.004e+03, 6.750e-02
1.750e+02, 5.000e-01, -4.950e+02, 4.185e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.171e+02, 1.005e+03, 6.751e-02
1.750e+02, 5.000e-01, -4.650e+02, 4.156e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.182e+02, 1.005e+03, 8.019e-02
1.750e+02, 5.000e-01, -4.350e+02, 4.126e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.200e+02, 1.005e+03, 8.444e-02
1.750e+02, 5.000e-01, -4.050e+02, 4.096e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.220e+02, 1.006e+03, 8.447e-02
1.750e+02, 5.000e-01, -3.750e+02, 4.067e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.241e+02, 1.006e+03, 8.450e-02
1.750e+02, 5.000e-01, -3.450e+02, 4.037e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.260e+02, 1.006e+03, 6.762e-02
1.750e+02, 5.000e-01, -3.150e+02, 4.008e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.274e+02, 1.007e+03, 6.764e-02
1.750e+02, 5.000e-01, -2.850e+02, 3.978e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.290e+02, 1.007e+03, 6.766e-02
1.750e+02, 5.000e-01, -2.550e+02, 3.948e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.306e+02, 1.007e+03, 6.767e-02
1.750e+02, 5.000e-01, -2.250e+02, 3.919e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.324e+02, 1.007e+03, 6.769e-02
1.750e+02, 5.000e-01, -1.950e+02, 3.889e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.343e+02, 1.008e+03, 6.771e-02
1.750e+02, 5.000e-01, -1.650e+02, 3.860e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.364e+02, 1.008e+03, 6.773e-02
1.750e+02, 5.000e-01, -1.350e+02, 3.835e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.387e+02, 1.008e+03, 5.928e-02
1.750e+02, 5.000e-01, -1.050e+02, 3.819e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.406e+02, 1.008e+03, 3.388e-02
1.750e+02, 5.000e-01, -7.500e+01, 3.789e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.417e+02, 1.009e+03, 3.389e-02
1.750e+02, 5.000e-01, -4.500e+01, 3.760e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.429e+02, 1.009e+03, 3.390e-02
1.750e+02, 5.000e-01, -1.500e+01, 3.730e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.442e+02, 1.009e+03, 3.390e-02
2.450e+02, 5.000e-01, -1.185e+03, 4.777e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.953e+02, 9.990e+02, 3.357e-08
2.450e+02, 5.000e-01, -1.155e+03, 4.765e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.957e+02, 9.992e+02, 3.357e-08
2.450e+02, 5.000e-01, -1.125e+03, 4.766e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.967e+02, 9.993e+02, 3.358e-08
2.450e+02, 5.000e-01, -1.095e+03, 4.772e+07, 0.000e+00, 4.128e-06, 0.000e+00, 8.980e+02, 9.996e+02, 2.837e-01
2.450e+02, 5.000e-01, -1.065e+03, 4.748e+07, 0.000e+00, 1.137e-06, 0.000e+00, 8.990e+02, 9.998e+02, 9.552e-02
2.450e+02, 5.000e-01, -1.035e+03, 4.719e+07, 0.000e+00, 1.001e-06, 0.000e+00, 9.001e+02, 1.000e+03, 8.407e-02
2.450e+02, 5.000e-01, -1.005e+03, 4.689e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.014e+02, 1.000e+03, 8.405e-02
2.450e+02, 5.000e-01, -9.750e+02, 4.660e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.030e+02, 1.001e+03, 8.408e-02
2.450e+02, 5.000e-01, -9.450e+02, 4.630e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.047e+02, 1.001e+03, 8.411e-02
2.450e+02, 5.000e-01, -9.150e+02, 4.601e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.066e+02, 1.002e+03, 8.415e-02
2.450e+02, 5.000e-01, -8.850e+02, 4.571e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.083e+02, 1.002e+03, 8.419e-02
2.450e+02, 5.000e-01, -8.550e+02, 4.561e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.098e+02, 1.002e+03, 3.368e-02
2.450e+02, 5.000e-01, -8.250e+02, 4.531e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.100e+02, 1.003e+03, 3.369e-02
2.450e+02, 5.000e-01, -7.950e+02, 4.501e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.102e+02, 1.003e+03, 3.369e-02
2.450e+02, 5.000e-01, -7.650e+02, 4.471e+07, 0.000e+00, 1.027e-06, 0.000e+00, 9.103e+02, 1.003e+03, 3.461e-02
2.450e+02, 5.000e-01, -7.350e+02, 4.441e+07, 0.000e+00, 1.432e-03, 0.000e+00, 9.104e+02, 1.003e+03, 4.830e+01
2.450e+02, 5.000e-01, -7.050e+02, 4.392e+07, 0.000e+00, 5.160e-02, 0.000e+00, 9.101e+02, 1.014e+03, 3.517e+03
2.450e+02, 5.000e-01, -6.750e+02, 4.363e+07, 0.000e+00, 1.094e-02, 0.000e+00, 9.109e+02, 1.006e+03, 7.397e+02
2.450e+02, 5.000e-01, -6.450e+02, 4.333e+07, 0.000e+00, 1.667e-03, 0.000e+00, 9.118e+02, 1.004e+03, 1.124e+02
2.450e+02, 5.000e-01, -6.150e+02, 4.304e+07, 0.000e+00, 1.435e-04, 0.000e+00, 9.127e+02, 1.004e+03, 9.678e+00
2.450e+02, 5.000e-01, -5.850e+02, 4.274e+07, 0.000e+00, 8.228e-06, 0.000e+00, 9.138e+02, 1.004e+03, 5.551e-01
2.450e+02, 5.000e-01, -5.550e+02, 4.245e+07, 0.000e+00, 1.115e-06, 0.000e+00, 9.148e+02, 1.004e+03, 7.524e-02
2.450e+02, 5.000e-01, -5.250e+02, 4.215e+07, 0.000e+00, 1.002e-06, 0.000e+00, 9.159e+02, 1.004e+03, 6.761e-02
2.450e+02, 5.000e-01, -4.950e+02, 4.185e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.170e+02, 1.005e+03, 6.751e-02
2.450e+02, 5.000e-01, -4.650e+02, 4.156e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.181e+02, 1.005e+03, 6.753e-02
2.450e+02, 5.000e-01, -4.350e+02, 4.126e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.199e+02, 1.005e+03, 8.444e-02
2.450e+02, 5.000e-01, -4.050e+02, 4.096e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.220e+02, 1.006e+03, 8.447e-02
